Model,Question_ID,Score,Points,Total Points
O1,2019Q,21.4286,2.1429,10.0
Claude Opus,2019R,57.1429,2.8571,5.0
Claude Sonnet 4.5,2019R,0.0,0.0,5.0
GPT-4o,2019R,0.0,0.0,5.0
GPT-5,2019R,61.9048,3.0952,5.0
Gemini 2.5 Flash,2019R,69.0476,3.4524,5.0
Gemini 2.5 Pro,2019R,33.3333,1.6667,5.0
Grok,2019R,57.1429,2.8571,5.0
O1,2019R,57.1429,2.8571,5.0
Claude Opus,2020A,45.4545,2.2727,5.0
Claude Sonnet 4.5,2020A,57.5758,2.8788,5.0
GPT-4o,2020A,3.0303,0.1515,5.0
GPT-5,2020A,81.8182,4.0909,5.0
Gemini 2.5 Flash,2020A,75.7576,3.7879,5.0
Gemini 2.5 Pro,2020A,81.8182,4.0909,5.0
Grok,2020A,90.9091,4.5455,5.0
O1,2020A,0.0,0.0,5.0
Claude Opus,2020B,0.0,0.0,15.0
Claude Sonnet 4.5,2020B,0.0,0.0,15.0
GPT-4o,2020B,0.0,0.0,15.0
GPT-5,2020B,47.8261,7.1739,15.0
Gemini 2.5 Flash,2020B,54.3478,8.1522,15.0
Gemini 2.5 Pro,2020B,82.6087,12.3913,15.0
Grok,2020B,43.4783,6.5217,15.0
O1,2020B,19.5652,2.9348,15.0
Claude Opus,2020C,15.3846,3.0769,20.0
Claude Sonnet 4.5,2020C,15.3846,3.0769,20.0
GPT-4o,2020C,0.0,0.0,20.0
GPT-5,2020C,0.0,0.0,20.0
Gemini 2.5 Flash,2020C,11.5385,2.3077,20.0
Gemini 2.5 Pro,2020C,7.6923,1.5385,20.0
Grok,2020C,3.8462,0.7692,20.0
O1,2020C,0.0,0.0,20.0
Claude Opus,2020D,0.0,0.0,10.0
Claude Sonnet 4.5,2020D,18.75,1.875,10.0
GPT-4o,2020D,12.5,1.25,10.0
GPT-5,2020D,87.5,8.75,10.0
Gemini 2.5 Flash,2020D,12.5,1.25,10.0
Gemini 2.5 Pro,2020D,62.5,6.25,10.0
Grok,2020D,12.5,1.25,10.0
O1,2020D,6.25,0.625,10.0
Claude Opus,2020E,83.3333,12.5,15.0
Claude Sonnet 4.5,2020E,83.3333,12.5,15.0
GPT-4o,2020E,33.3333,5.0,15.0
GPT-5,2020E,100.0,15.0,15.0
Gemini 2.5 Flash,2020E,100.0,15.0,15.0
Gemini 2.5 Pro,2020E,100.0,15.0,15.0
Grok,2020E,50.0,7.5,15.0
O1,2020E,66.6667,10.0,15.0
Claude Opus,2020F,16.6667,2.5,15.0
Claude Sonnet 4.5,2020F,27.7778,4.1667,15.0
GPT-4o,2020F,11.1111,1.6667,15.0
GPT-5,2020F,33.3333,5.0,15.0
Gemini 2.5 Flash,2020F,27.7778,4.1667,15.0
Gemini 2.5 Pro,2020F,72.2222,10.8333,15.0
Grok,2020F,0.0,0.0,15.0
O1,2020F,16.6667,2.5,15.0
Claude Opus,2020G,5.5556,0.5556,10.0
Claude Sonnet 4.5,2020G,11.1111,1.1111,10.0
GPT-4o,2020G,0.0,0.0,10.0
GPT-5,2020G,55.5556,5.5556,10.0
Gemini 2.5 Flash,2020G,11.1111,1.1111,10.0
Gemini 2.5 Pro,2020G,72.2222,7.2222,10.0
Grok,2020G,0.0,0.0,10.0
O1,2020G,0.0,0.0,10.0
Claude Opus,2020H,0.0,0.0,10.0
Claude Sonnet 4.5,2020H,0.0,0.0,10.0
GPT-4o,2020H,0.0,0.0,10.0
GPT-5,2020H,0.0,0.0,10.0
Gemini 2.5 Flash,2020H,0.0,0.0,10.0
Gemini 2.5 Pro,2020H,0.0,0.0,10.0
Grok,2020H,0.0,0.0,10.0
O1,2020H,0.0,0.0,10.0
Claude Opus,2020I,41.6667,4.1667,10.0
Claude Sonnet 4.5,2020I,66.6667,6.6667,10.0
GPT-4o,2020I,0.0,0.0,10.0
GPT-5,2020I,91.6667,9.1667,10.0
Gemini 2.5 Flash,2020I,91.6667,9.1667,10.0
Gemini 2.5 Pro,2020I,91.6667,9.1667,10.0
Grok,2020I,50.0,5.0,10.0
O1,2020I,8.3333,0.8333,10.0
Claude Opus,2020J,0.0,0.0,15.0
Claude Sonnet 4.5,2020J,33.3333,5.0,15.0
GPT-4o,2020J,16.6667,2.5,15.0
GPT-5,2020J,25.0,3.75,15.0
Gemini 2.5 Flash,2020J,50.0,7.5,15.0
Gemini 2.5 Pro,2020J,58.3333,8.75,15.0
Grok,2020J,0.0,0.0,15.0
O1,2020J,0.0,0.0,15.0
Claude Opus,2020K,2.7778,0.2778,10.0
Claude Sonnet 4.5,2020K,2.7778,0.2778,10.0
GPT-4o,2020K,0.0,0.0,10.0
GPT-5,2020K,5.5556,0.5556,10.0
Gemini 2.5 Flash,2020K,5.5556,0.5556,10.0
Gemini 2.5 Pro,2020K,0.0,0.0,10.0
Grok,2020K,0.0,0.0,10.0
O1,2020K,0.0,0.0,10.0
Claude Opus,2020L,53.5714,2.6786,5.0
Claude Sonnet 4.5,2020L,71.4286,3.5714,5.0
GPT-4o,2020L,0.0,0.0,5.0
GPT-5,2020L,89.2857,4.4643,5.0
Gemini 2.5 Flash,2020L,96.4286,4.8214,5.0
Gemini 2.5 Pro,2020L,67.8571,3.3929,5.0
Grok,2020L,35.7143,1.7857,5.0
O1,2020L,57.1429,2.8571,5.0
Claude Opus,2020M,54.5455,5.4546,10.0
Claude Sonnet 4.5,2020M,81.8182,8.1818,10.0
GPT-4o,2020M,45.4545,4.5455,10.0
GPT-5,2020M,72.7273,7.2727,10.0
Gemini 2.5 Flash,2020M,54.5455,5.4546,10.0
Gemini 2.5 Pro,2020M,63.6364,6.3636,10.0
Grok,2020M,45.4545,4.5455,10.0
O1,2020M,63.6364,6.3636,10.0
Claude Opus,2020N,0.0,0.0,5.0
Claude Sonnet 4.5,2020N,42.8571,2.1429,5.0
GPT-4o,2020N,0.0,0.0,5.0
GPT-5,2020N,92.8571,4.6429,5.0
Gemini 2.5 Flash,2020N,7.1429,0.3571,5.0
Gemini 2.5 Pro,2020N,50.0,2.5,5.0
Grok,2020N,28.5714,1.4286,5.0
O1,2020N,0.0,0.0,5.0
Claude Opus,2020O,50.0,5.0,10.0
Claude Sonnet 4.5,2020O,50.0,5.0,10.0
GPT-4o,2020O,10.0,1.0,10.0
GPT-5,2020O,85.0,8.5,10.0
Gemini 2.5 Flash,2020O,85.0,8.5,10.0
Gemini 2.5 Pro,2020O,85.0,8.5,10.0
Grok,2020O,35.0,3.5,10.0
O1,2020O,45.0,4.5,10.0
Claude Opus,2020P,29.4118,2.9412,10.0
Claude Sonnet 4.5,2020P,11.7647,1.1765,10.0
GPT-4o,2020P,0.0,0.0,10.0
GPT-5,2020P,47.0588,4.7059,10.0
Gemini 2.5 Flash,2020P,11.7647,1.1765,10.0
Gemini 2.5 Pro,2020P,35.2941,3.5294,10.0
Grok,2020P,47.0588,4.7059,10.0
O1,2020P,23.5294,2.3529,10.0
Claude Opus,2020Q,5.2632,0.5263,10.0
Claude Sonnet 4.5,2020Q,15.7895,1.579,10.0
GPT-4o,2020Q,10.5263,1.0526,10.0
GPT-5,2020Q,31.5789,3.1579,10.0
Gemini 2.5 Flash,2020Q,26.3158,2.6316,10.0
Gemini 2.5 Pro,2020Q,34.2105,3.4211,10.0
Grok,2020Q,31.5789,3.1579,10.0
O1,2020Q,0.0,0.0,10.0
Claude Opus,2020R,0.0,0.0,10.0
Claude Sonnet 4.5,2020R,22.7273,2.2727,10.0
GPT-4o,2020R,0.0,0.0,10.0
GPT-5,2020R,81.8182,8.1818,10.0
Gemini 2.5 Flash,2020R,45.4545,4.5455,10.0
Gemini 2.5 Pro,2020R,22.7273,2.2727,10.0
Grok,2020R,9.0909,0.9091,10.0
O1,2020R,0.0,0.0,10.0
Claude Opus,2021A,40.0,4.0,10.0
Claude Sonnet 4.5,2021A,50.0,5.0,10.0
GPT-4o,2021A,0.0,0.0,10.0
GPT-5,2021A,100.0,10.0,10.0
Gemini 2.5 Flash,2021A,100.0,10.0,10.0
Gemini 2.5 Pro,2021A,100.0,10.0,10.0
Grok,2021A,0.0,0.0,10.0
O1,2021A,100.0,10.0,10.0
Claude Opus,2021B,0.0,0.0,10.0
Claude Sonnet 4.5,2021B,9.0909,0.9091,10.0
GPT-4o,2021B,0.0,0.0,10.0
GPT-5,2021B,31.8182,3.1818,10.0
Gemini 2.5 Flash,2021B,22.7273,2.2727,10.0
Gemini 2.5 Pro,2021B,18.1818,1.8182,10.0
Grok,2021B,0.0,0.0,10.0
O1,2021B,0.0,0.0,10.0
Claude Opus,2021C,18.1818,1.8182,10.0
Claude Sonnet 4.5,2021C,4.5455,0.4545,10.0
GPT-4o,2021C,4.5455,0.4545,10.0
GPT-5,2021C,86.3636,8.6364,10.0
Gemini 2.5 Flash,2021C,84.0909,8.4091,10.0
Gemini 2.5 Pro,2021C,88.6364,8.8636,10.0
Grok,2021C,29.5455,2.9546,10.0
O1,2021C,29.5455,2.9546,10.0
Claude Opus,2021D,17.6471,1.7647,10.0
Claude Sonnet 4.5,2021D,5.8824,0.5882,10.0
GPT-4o,2021D,0.0,0.0,10.0
GPT-5,2021D,64.7059,6.4706,10.0
Gemini 2.5 Flash,2021D,11.7647,1.1765,10.0
Gemini 2.5 Pro,2021D,17.6471,1.7647,10.0
Grok,2021D,17.6471,1.7647,10.0
O1,2021D,5.8824,0.5882,10.0
Claude Opus,2021E,8.6957,1.3044,15.0
Claude Sonnet 4.5,2021E,13.0435,1.9565,15.0
GPT-5,2021E,0.0,0.0,15.0
Gemini 2.5 Flash,2021E,8.6957,1.3044,15.0
Gemini 2.5 Pro,2021E,8.6957,1.3044,15.0
Grok,2021E,13.0435,1.9565,15.0
O1,2021E,8.6957,1.3044,15.0
Claude Opus,2021F,42.8571,6.4286,15.0
Claude Sonnet 4.5,2021F,42.8571,6.4286,15.0
GPT-4o,2021F,28.5714,4.2857,15.0
GPT-5,2021F,92.8571,13.9286,15.0
Gemini 2.5 Flash,2021F,0.0,0.0,15.0
Gemini 2.5 Pro,2021F,57.1429,8.5714,15.0
Grok,2021F,14.2857,2.1429,15.0
O1,2021F,57.1429,8.5714,15.0
Claude Opus,2021G,8.6957,1.3044,15.0
Claude Sonnet 4.5,2021G,8.6957,1.3044,15.0
GPT-4o,2021G,0.0,0.0,15.0
GPT-5,2021G,73.913,11.0869,15.0
Gemini 2.5 Flash,2021G,39.1304,5.8696,15.0
Gemini 2.5 Pro,2021G,95.6522,14.3478,15.0
Grok,2021G,4.3478,0.6522,15.0
O1,2021G,17.3913,2.6087,15.0
Claude Opus,2021H,42.1053,2.1053,5.0
Claude Sonnet 4.5,2021H,42.1053,2.1053,5.0
GPT-4o,2021H,0.0,0.0,5.0
GPT-5,2021H,63.1579,3.1579,5.0
Gemini 2.5 Flash,2021H,68.4211,3.4211,5.0
Gemini 2.5 Pro,2021H,84.2105,4.2105,5.0
Grok,2021H,15.7895,0.7895,5.0
O1,2021H,0.0,0.0,5.0
Claude Opus,2021I,46.875,4.6875,10.0
Claude Sonnet 4.5,2021I,28.125,2.8125,10.0
GPT-4o,2021I,31.25,3.125,10.0
GPT-5,2021I,75.0,7.5,10.0
Gemini 2.5 Flash,2021I,46.875,4.6875,10.0
Gemini 2.5 Pro,2021I,59.375,5.9375,10.0
Grok,2021I,90.625,9.0625,10.0
O1,2021I,31.25,3.125,10.0
Claude Opus,2021J,30.9524,3.0952,10.0
Claude Sonnet 4.5,2021J,38.0952,3.8095,10.0
GPT-4o,2021J,0.0,0.0,10.0
GPT-5,2021J,100.0,10.0,10.0
Gemini 2.5 Flash,2021J,52.381,5.2381,10.0
Gemini 2.5 Pro,2021J,47.619,4.7619,10.0
Grok,2021J,14.2857,1.4286,10.0
O1,2021J,4.7619,0.4762,10.0
Claude Opus,2021K,3.7037,0.1852,5.0
Claude Sonnet 4.5,2021K,7.4074,0.3704,5.0
GPT-4o,2021K,0.0,0.0,5.0
GPT-5,2021K,100.0,5.0,5.0
Gemini 2.5 Flash,2021K,11.1111,0.5556,5.0
Gemini 2.5 Pro,2021K,7.4074,0.3704,5.0
Grok,2021K,0.0,0.0,5.0
O1,2021K,3.7037,0.1852,5.0
Claude Opus,2021L,5.0,0.5,10.0
Claude Sonnet 4.5,2021L,5.0,0.5,10.0
GPT-4o,2021L,0.0,0.0,10.0
GPT-5,2021L,37.5,3.75,10.0
Gemini 2.5 Flash,2021L,40.0,4.0,10.0
Gemini 2.5 Pro,2021L,85.0,8.5,10.0
Grok,2021L,12.5,1.25,10.0
O1,2021L,10.0,1.0,10.0
Claude Opus,2021M,11.1111,1.6667,15.0
Claude Sonnet 4.5,2021M,16.6667,2.5,15.0
GPT-4o,2021M,0.0,0.0,15.0
GPT-5,2021M,61.1111,9.1667,15.0
Gemini 2.5 Flash,2021M,22.2222,3.3333,15.0
Gemini 2.5 Pro,2021M,33.3333,5.0,15.0
Grok,2021M,11.1111,1.6667,15.0
O1,2021M,0.0,0.0,15.0
Claude Opus,2021N,5.8824,0.5882,10.0
Claude Sonnet 4.5,2021N,17.6471,1.7647,10.0
GPT-4o,2021N,0.0,0.0,10.0
GPT-5,2021N,35.2941,3.5294,10.0
Gemini 2.5 Flash,2021N,0.0,0.0,10.0
Gemini 2.5 Pro,2021N,5.8824,0.5882,10.0
Grok,2021N,0.0,0.0,10.0
O1,2021N,2.9412,0.2941,10.0
Claude Opus,2021O,9.5238,0.9524,10.0
Claude Sonnet 4.5,2021O,19.0476,1.9048,10.0
GPT-4o,2021O,9.5238,0.9524,10.0
GPT-5,2021O,76.1905,7.6191,10.0
Gemini 2.5 Flash,2021O,14.2857,1.4286,10.0
Gemini 2.5 Pro,2021O,9.5238,0.9524,10.0
Grok,2021O,14.2857,1.4286,10.0
O1,2021O,19.0476,1.9048,10.0
Claude Opus,2021P,0.0,0.0,10.0
Claude Sonnet 4.5,2021P,60.0,6.0,10.0
GPT-4o,2021P,0.0,0.0,10.0
GPT-5,2021P,20.0,2.0,10.0
Gemini 2.5 Flash,2021P,10.0,1.0,10.0
Gemini 2.5 Pro,2021P,10.0,1.0,10.0
Grok,2021P,20.0,2.0,10.0
O1,2021P,10.0,1.0,10.0
Claude Opus,2021Q,87.8378,8.7838,10.0
Claude Sonnet 4.5,2021Q,74.3243,7.4324,10.0
GPT-4o,2021Q,24.3243,2.4324,10.0
GPT-5,2021Q,98.6486,9.8649,10.0
Gemini 2.5 Flash,2021Q,81.0811,8.1081,10.0
Gemini 2.5 Pro,2021Q,97.2973,9.7297,10.0
Grok,2021Q,94.5946,9.4595,10.0
O1,2021Q,35.1351,3.5135,10.0
Claude Opus,2021R,10.0,0.5,5.0
Claude Sonnet 4.5,2021R,18.0,0.9,5.0
GPT-4o,2021R,4.0,0.2,5.0
Gemini 2.5 Flash,2021R,28.0,1.4,5.0
Gemini 2.5 Pro,2021R,44.0,2.2,5.0
Grok,2021R,20.0,1.0,5.0
O1,2021R,0.0,0.0,5.0
Claude Opus,2021S,0.0,0.0,15.0
Claude Sonnet 4.5,2021S,0.0,0.0,15.0
GPT-4o,2021S,0.0,0.0,15.0
Gemini 2.5 Pro,2021S,0.0,0.0,15.0
Grok,2021S,0.0,0.0,15.0
O1,2021S,0.0,0.0,15.0
Claude Opus,2022A,33.3333,3.3333,10.0
Claude Sonnet 4.5,2022A,33.3333,3.3333,10.0
GPT-4o,2022A,0.0,0.0,10.0
GPT-5,2022A,33.3333,3.3333,10.0
Gemini 2.5 Flash,2022A,22.2222,2.2222,10.0
Gemini 2.5 Pro,2022A,11.1111,1.1111,10.0
Grok,2022A,11.1111,1.1111,10.0
O1,2022A,33.3333,3.3333,10.0
Claude Opus,2022B,100.0,10.0,10.0
Claude Sonnet 4.5,2022B,100.0,10.0,10.0
GPT-4o,2022B,20.0,2.0,10.0
GPT-5,2022B,100.0,10.0,10.0
Gemini 2.5 Flash,2022B,100.0,10.0,10.0
Gemini 2.5 Pro,2022B,100.0,10.0,10.0
Grok,2022B,90.0,9.0,10.0
O1,2022B,100.0,10.0,10.0
Claude Opus,2022C,32.4324,4.8649,15.0
Claude Sonnet 4.5,2022C,62.1622,9.3243,15.0
GPT-4o,2022C,10.8108,1.6216,15.0
GPT-5,2022C,56.7568,8.5135,15.0
Gemini 2.5 Flash,2022C,71.6216,10.7432,15.0
Gemini 2.5 Pro,2022C,70.2703,10.5405,15.0
Grok,2022C,28.3784,4.2568,15.0
O1,2022C,24.3243,3.6486,15.0
Claude Opus,2022D,50.0,5.0,10.0
GPT-4o,2022D,27.2727,2.7273,10.0
GPT-5,2022D,54.5455,5.4546,10.0
Gemini 2.5 Flash,2022D,54.5455,5.4546,10.0
Gemini 2.5 Pro,2022D,54.5455,5.4546,10.0
Grok,2022D,22.7273,2.2727,10.0
O1,2022D,36.3636,3.6364,10.0
Claude Opus,2022E,6.25,0.625,10.0
Claude Sonnet 4.5,2022E,0.0,0.0,10.0
GPT-4o,2022E,6.25,0.625,10.0
GPT-5,2022E,42.1875,4.2188,10.0
Gemini 2.5 Flash,2022E,31.25,3.125,10.0
Gemini 2.5 Pro,2022E,18.75,1.875,10.0
Grok,2022E,3.125,0.3125,10.0
O1,2022E,3.125,0.3125,10.0
Claude Opus,2022F,56.25,5.625,10.0
Claude Sonnet 4.5,2022F,75.0,7.5,10.0
GPT-4o,2022F,50.0,5.0,10.0
GPT-5,2022F,87.5,8.75,10.0
Gemini 2.5 Flash,2022F,90.625,9.0625,10.0
Gemini 2.5 Pro,2022F,87.5,8.75,10.0
Grok,2022F,56.25,5.625,10.0
O1,2022F,25.0,2.5,10.0
Claude Opus,2022G,80.0,4.0,5.0
Claude Sonnet 4.5,2022G,80.0,4.0,5.0
GPT-4o,2022G,20.0,1.0,5.0
GPT-5,2022G,100.0,5.0,5.0
Gemini 2.5 Flash,2022G,40.0,2.0,5.0
Gemini 2.5 Pro,2022G,100.0,5.0,5.0
Grok,2022G,20.0,1.0,5.0
O1,2022G,60.0,3.0,5.0
Claude Opus,2022H,25.0,3.75,15.0
Claude Sonnet 4.5,2022H,41.6667,6.25,15.0
GPT-4o,2022H,0.0,0.0,15.0
GPT-5,2022H,70.8333,10.625,15.0
Gemini 2.5 Flash,2022H,62.5,9.375,15.0
Gemini 2.5 Pro,2022H,75.0,11.25,15.0
Grok,2022H,20.8333,3.125,15.0
O1,2022H,25.0,3.75,15.0
Claude Opus,2022I,62.963,9.4444,15.0
Claude Sonnet 4.5,2022I,44.4444,6.6667,15.0
GPT-4o,2022I,3.7037,0.5556,15.0
GPT-5,2022I,92.5926,13.8889,15.0
Gemini 2.5 Flash,2022I,25.9259,3.8889,15.0
Gemini 2.5 Pro,2022I,96.2963,14.4444,15.0
Grok,2022I,25.9259,3.8889,15.0
O1,2022I,55.5556,8.3333,15.0
Claude Opus,2022J,33.3333,1.6667,5.0
Claude Sonnet 4.5,2022J,33.3333,1.6667,5.0
GPT-4o,2022J,0.0,0.0,5.0
GPT-5,2022J,55.5556,2.7778,5.0
Gemini 2.5 Flash,2022J,16.6667,0.8333,5.0
Gemini 2.5 Pro,2022J,55.5556,2.7778,5.0
Grok,2022J,22.2222,1.1111,5.0
O1,2022J,33.3333,1.6667,5.0
Claude Opus,2022K,0.0,0.0,15.0
Claude Sonnet 4.5,2022K,0.0,0.0,15.0
GPT-4o,2022K,0.0,0.0,15.0
GPT-5,2022K,7.4074,1.1111,15.0
Gemini 2.5 Flash,2022K,85.1852,12.7778,15.0
Gemini 2.5 Pro,2022K,37.037,5.5555,15.0
Grok,2022K,22.2222,3.3333,15.0
O1,2022K,0.0,0.0,15.0
Claude Opus,2022L,64.2857,3.2143,5.0
Claude Sonnet 4.5,2022L,28.5714,1.4286,5.0
GPT-4o,2022L,21.4286,1.0714,5.0
GPT-5,2022L,64.2857,3.2143,5.0
Gemini 2.5 Flash,2022L,42.8571,2.1429,5.0
Gemini 2.5 Pro,2022L,64.2857,3.2143,5.0
Grok,2022L,57.1429,2.8571,5.0
O1,2022L,35.7143,1.7857,5.0
Claude Opus,2022M,50.0,5.0,10.0
Claude Sonnet 4.5,2022M,41.6667,4.1667,10.0
GPT-4o,2022M,0.0,0.0,10.0
GPT-5,2022M,66.6667,6.6667,10.0
Gemini 2.5 Pro,2022M,75.0,7.5,10.0
Grok,2022M,66.6667,6.6667,10.0
O1,2022M,16.6667,1.6667,10.0
Claude Opus,2022N,5.0,0.75,15.0
Claude Sonnet 4.5,2022N,20.0,3.0,15.0
GPT-4o,2022N,0.0,0.0,15.0
GPT-5,2022N,40.0,6.0,15.0
Gemini 2.5 Flash,2022N,0.0,0.0,15.0
Gemini 2.5 Pro,2022N,15.0,2.25,15.0
Grok,2022N,15.0,2.25,15.0
O1,2022N,15.0,2.25,15.0
Claude Opus,2022O,40.0,4.0,10.0
Claude Sonnet 4.5,2022O,60.0,6.0,10.0
GPT-4o,2022O,40.0,4.0,10.0
GPT-5,2022O,80.0,8.0,10.0
Gemini 2.5 Flash,2022O,50.0,5.0,10.0
Gemini 2.5 Pro,2022O,80.0,8.0,10.0
Grok,2022O,0.0,0.0,10.0
O1,2022O,60.0,6.0,10.0
Claude Opus,2022P,22.7273,3.4091,15.0
Claude Sonnet 4.5,2022P,34.0909,5.1136,15.0
GPT-4o,2022P,36.3636,5.4545,15.0
GPT-5,2022P,52.2727,7.8409,15.0
Gemini 2.5 Flash,2022P,45.4545,6.8182,15.0
Gemini 2.5 Pro,2022P,56.8182,8.5227,15.0
Grok,2022P,43.1818,6.4773,15.0
O1,2022P,2.2727,0.3409,15.0
Claude Opus,2022Q,42.8571,6.4286,15.0
Claude Sonnet 4.5,2022Q,28.5714,4.2857,15.0
GPT-4o,2022Q,28.5714,4.2857,15.0
GPT-5,2022Q,71.4286,10.7143,15.0
Gemini 2.5 Flash,2022Q,57.1429,8.5714,15.0
Gemini 2.5 Pro,2022Q,92.8571,13.9286,15.0
Grok,2022Q,14.2857,2.1429,15.0
O1,2022Q,21.4286,3.2143,15.0
Claude Opus,2022R,19.0476,1.9048,10.0
Claude Sonnet 4.5,2022R,28.5714,2.8571,10.0
GPT-4o,2022R,11.9048,1.1905,10.0
GPT-5,2022R,14.2857,1.4286,10.0
Gemini 2.5 Flash,2022R,4.7619,0.4762,10.0
Gemini 2.5 Pro,2022R,30.9524,3.0952,10.0
Grok,2022R,28.5714,2.8571,10.0
O1,2022R,0.0,0.0,10.0
Claude Opus,2023A,58.3333,8.75,15.0
Claude Sonnet 4.5,2023A,91.6667,13.75,15.0
GPT-4o,2023A,0.0,0.0,15.0
GPT-5,2023A,100.0,15.0,15.0
Gemini 2.5 Flash,2023A,83.3333,12.5,15.0
Gemini 2.5 Pro,2023A,95.8333,14.375,15.0
Grok,2023A,70.8333,10.625,15.0
O1,2023A,75.0,11.25,15.0
Claude Opus,2023B,40.0,4.0,10.0
Claude Sonnet 4.5,2023B,20.0,2.0,10.0
GPT-5,2023B,20.0,2.0,10.0
Gemini 2.5 Flash,2023B,0.0,0.0,10.0
Gemini 2.5 Pro,2023B,100.0,10.0,10.0
Grok,2023B,40.0,4.0,10.0
O1,2023B,0.0,0.0,10.0
Claude Opus,2023C,10.0,1.5,15.0
Claude Sonnet 4.5,2023C,10.0,1.5,15.0
GPT-4o,2023C,0.0,0.0,15.0
GPT-5,2023C,0.0,0.0,15.0
Gemini 2.5 Flash,2023C,0.0,0.0,15.0
Gemini 2.5 Pro,2023C,0.0,0.0,15.0
Grok,2023C,10.0,1.5,15.0
O1,2023C,0.0,0.0,15.0
Claude Opus,2023D,25.0,2.5,10.0
Claude Sonnet 4.5,2023D,25.0,2.5,10.0
GPT-4o,2023D,0.0,0.0,10.0
GPT-5,2023D,50.0,5.0,10.0
Gemini 2.5 Flash,2023D,0.0,0.0,10.0
Gemini 2.5 Pro,2023D,50.0,5.0,10.0
Grok,2023D,12.5,1.25,10.0
O1,2023D,12.5,1.25,10.0
Claude Opus,2023E,70.0,3.5,5.0
Claude Sonnet 4.5,2023E,50.0,2.5,5.0
GPT-4o,2023E,0.0,0.0,5.0
GPT-5,2023E,95.0,4.75,5.0
Gemini 2.5 Flash,2023E,70.0,3.5,5.0
Gemini 2.5 Pro,2023E,90.0,4.5,5.0
Grok,2023E,50.0,2.5,5.0
O1,2023E,30.0,1.5,5.0
Claude Opus,2023F,8.0,1.2,15.0
Claude Sonnet 4.5,2023F,0.0,0.0,15.0
GPT-4o,2023F,4.0,0.6,15.0
GPT-5,2023F,4.0,0.6,15.0
Gemini 2.5 Flash,2023F,40.0,6.0,15.0
Gemini 2.5 Pro,2023F,16.0,2.4,15.0
Grok,2023F,0.0,0.0,15.0
O1,2023F,12.0,1.8,15.0
Claude Opus,2023G,14.2857,2.1429,15.0
Claude Sonnet 4.5,2023G,35.7143,5.3571,15.0
GPT-4o,2023G,0.0,0.0,15.0
GPT-5,2023G,50.0,7.5,15.0
Gemini 2.5 Flash,2023G,42.8571,6.4286,15.0
Gemini 2.5 Pro,2023G,85.7143,12.8571,15.0
Grok,2023G,14.2857,2.1429,15.0
O1,2023G,21.4286,3.2143,15.0
Claude Opus,2023H,50.0,7.5,15.0
Claude Sonnet 4.5,2023H,68.75,10.3125,15.0
GPT-4o,2023H,0.0,0.0,15.0
GPT-5,2023H,93.75,14.0625,15.0
Gemini 2.5 Flash,2023H,68.75,10.3125,15.0
Gemini 2.5 Pro,2023H,93.75,14.0625,15.0
Grok,2023H,50.0,7.5,15.0
O1,2023H,75.0,11.25,15.0
Claude Opus,2023I,16.6667,0.8333,5.0
Claude Sonnet 4.5,2023I,33.3333,1.6667,5.0
GPT-4o,2023I,0.0,0.0,5.0
GPT-5,2023I,83.3333,4.1667,5.0
Gemini 2.5 Flash,2023I,50.0,2.5,5.0
Gemini 2.5 Pro,2023I,83.3333,4.1667,5.0
Grok,2023I,33.3333,1.6667,5.0
O1,2023I,16.6667,0.8333,5.0
Claude Opus,2023J,0.0,0.0,15.0
Claude Sonnet 4.5,2023J,0.0,0.0,15.0
GPT-4o,2023J,0.0,0.0,15.0
GPT-5,2023J,0.0,0.0,15.0
Gemini 2.5 Flash,2023J,10.0,1.5,15.0
Gemini 2.5 Pro,2023J,20.0,3.0,15.0
Grok,2023J,0.0,0.0,15.0
O1,2023J,0.0,0.0,15.0
Claude Opus,2023K,48.1481,7.2222,15.0
Claude Sonnet 4.5,2023K,55.5556,8.3333,15.0
GPT-4o,2023K,0.0,0.0,15.0
GPT-5,2023K,14.8148,2.2222,15.0
Gemini 2.5 Flash,2023K,66.6667,10.0,15.0
Gemini 2.5 Pro,2023K,92.5926,13.8889,15.0
Grok,2023K,29.6296,4.4444,15.0
O1,2023K,7.4074,1.1111,15.0
Claude Opus,2023L,7.1429,0.7143,10.0
Claude Sonnet 4.5,2023L,21.4286,2.1429,10.0
GPT-4o,2023L,0.0,0.0,10.0
GPT-5,2023L,28.5714,2.8571,10.0
Gemini 2.5 Pro,2023L,21.4286,2.1429,10.0
Grok,2023L,14.2857,1.4286,10.0
O1,2023L,0.0,0.0,10.0
Claude Opus,2023M,38.8889,5.8333,15.0
Claude Sonnet 4.5,2023M,55.5556,8.3333,15.0
GPT-4o,2023M,0.0,0.0,15.0
GPT-5,2023M,61.1111,9.1667,15.0
Gemini 2.5 Flash,2023M,50.0,7.5,15.0
Gemini 2.5 Pro,2023M,55.5556,8.3333,15.0
Grok,2023M,33.3333,5.0,15.0
O1,2023M,0.0,0.0,15.0
Claude Opus,2023N,6.25,0.625,10.0
Claude Sonnet 4.5,2023N,6.25,0.625,10.0
GPT-4o,2023N,0.0,0.0,10.0
GPT-5,2023N,0.0,0.0,10.0
Gemini 2.5 Flash,2023N,18.75,1.875,10.0
Gemini 2.5 Pro,2023N,6.25,0.625,10.0
Grok,2023N,6.25,0.625,10.0
O1,2023N,0.0,0.0,10.0
