Year,Problem,Task,Type,Notes
2024,J,J1,Recognition,Match user utterances to NACLaude responses by filter triggered
2024,J,J2,Recognition,Identify how NACLaude parsed compound nouns and what they should be
2024,K,K1,Production,Produce Hungarian locative suffixed forms for city names
2024,K,K2,Recognition,Explain observations about Hungarian locative structure in English
2024,L,L1,Recognition,Translate Coptic phrases into English
2024,L,L2,Production,Translate English phrases into Coptic
2024,L,L3,Recognition,Describe observations about Coptic grammar in English
2024,M,M1,Recognition,Match Maonan words/phrases to English translations
2024,M,M2,Recognition,Translate Maonan phrases into English
2024,M,M3,Production,Translate English words/phrases into Maonan
2024,M,M4,Recognition,Explain difference between two Maonan words and suggest English translation
2024,M,M5,Recognition,Explain observations about Maonan grammar and word formation
2024,N,N1,Recognition,Identify what information is represented by the RNN's fourth unit
2024,N,N2,Recognition,Match sentences to correct RNN unit value plots
2024,N,N3,Production,Write English sentences that could have generated given RNN plots
2024,N,N4,Production,Complete plots showing RNN unit values for given sentences
2024,N,N5,Recognition,Fill in unit-ablation prediction table and provide sentence start
2024,O,O1,Recognition,Fill in missing demonstrative forms in cross-linguistic table
2024,O,O2,Recognition,Identify property encoded by both Waray and Buru demonstratives
2024,O,O3,Recognition,Identify which Buru demonstrative has additional meaning
2024,O,O4,Recognition,Describe when each Seri demonstrative can be used
2024,P,P1,Recognition,Add syllable boundaries to Kilivila words
2024,P,P2,Recognition,Mark stressed syllable for Kilivila words
2024,P,P3,Production,Provide complete pronunciations (syllable boundaries + stress) for Kilivila words
2024,P,P4,Recognition,Explain observations about Kilivila stress and syllabification
2024,Q,Q1,Recognition,Match Jakaltek number words to their digit equivalents
2024,Q,Q2,Recognition,Translate Jakaltek number words into digits
2024,Q,Q3,Production,Write Jakaltek words for given numbers
2024,Q,Q4,Recognition,Explain structure of the Jakaltek numbering system
2024,R,R1,Recognition,Match future-dialect sentences to phonological rules
2024,R,R2,Recognition,Identify which Romance languages correspond to nodes in family tree
2024,R,R3,Recognition,Fill in blanks in phonological rule machine
2024,R,R4,Production,Produce Western Romance descendant forms from Latin words
2025,A,A1,Production,Construct Totonac sentences describing new motion events
2025,B,B1,Production,Generate new Kri words for given English descriptions
2025,B,B2,Recognition,Match Kri words to English meanings
2025,B,B3,Production,Identify and write the Kri word for a given English phrase
2025,C,C1,Recognition,Determine which object each letter refers to in Berlin-Kay color rules
2025,C,C2,Recognition,Indicate whether color words follow rules for each language
2025,C,C3,Recognition,Choose possible color words for blank cells while following rules
2025,D,D1,Recognition,Identify which test run used a pivot language and name it
2025,D,D2,Recognition,Select possible translation results for given color terms
2025,D,D3,Recognition,Match test runs to pivot languages
2025,E,E1,Recognition,Match Armenian script country names to English equivalents
2025,E,E2,Recognition,Write Latin-alphabet pronunciation of country names in Armenian
2025,E,E3,Production,Write country names in Armenian script
2025,F,F1,Recognition,Fill in missing correct/chatbot answers in cipher-decoding table
2025,F,F2,Recognition,Fill in NacloChat's incorrect acronym answers
2025,F,F3,Recognition,Select whether chatbot produced N-1 or N+1 for each list length
2025,G,G1,Recognition,Translate Sakata sentences into English
2025,G,G2,Production,Translate English sentences into Sakata
2025,G,G3,Production,Translate English noun phrases (counts) into Sakata
2025,H,H1,Recognition,Match Proto-Basque words to numbers 1-9
2025,H,H2,Recognition,Match Proto-Basque word-parts to English meanings
2025,H,H3,Recognition,Determine which modern Basque numbers correspond to 5-10
2025,I,I1,Recognition,Fill in cuneiform glyph table by matching glyphs from bank
2025,I,I2,Production,Draw the Sumerian cuneiform glyph for "man"
2025,I,I3,Recognition,Identify literal translation components of a cuneiform word
2025,I,I4,Recognition,Describe how cuneiform script changed over time in English
2025,J,J1,Recognition,Match Nganasan words to English meanings
2025,J,J2,Recognition,Translate Nganasan words into English
2025,J,J3,Production,Translate English words into Nganasan
2025,J,J4,Production,Suggest a Nganasan translation for an English phrase
2025,K,K1,Recognition,Identify grammatical category of words labeled YES by classifier
2025,K,K2,Recognition,Compute a dot product and write the resulting number
2025,K,K3,Recognition,Identify which classifier matches each context and write English context sentences
2025,K,K4,Recognition,Provide English words that could be represented by given vectors
2025,L,L1,Production,Fill in missing whistled and spoken Kickapoo forms
2025,L,L2,Production,Give whistled Kickapoo form for a theorized old word
2025,L,L3,Recognition,Explain how a Kickapoo word's whistled form is derived
2025,M,M1,Recognition,Match English translations to Irish sentences
2025,M,M2,Recognition,Translate Irish sentences into English
2025,M,M3,Production,Translate English sentences into Irish
2025,M,M4,Recognition,Explain observations about the Irish language in English
2025,N,N1,Recognition,Fill in Nancowry word table using morphological patterns
2025,N,N2,Recognition,Match additional Nancowry words to English meanings
2025,N,N3,Recognition,Explain how words are formed in Nancowry in English
2025,O,O1,Recognition,Fill in family tree gaps with correct language names
2025,O,O2,Recognition,Match statements to English translations
2025,O,O3,Recognition,Match statements to their speakers
2025,O,O4,Production,Write a sentence in Kotiria (Ricardo's patrilect)
2025,O,O5,Production,Write another sentence in Kotiria conveying specific information
2025,O,O6,Recognition,Match spouses to family members
2025,O,O7,Recognition,Identify a character's matrilineal language from context
2025,P,P1,Recognition,Translate Kwomtari sentences into English
2025,P,P2,Production,Translate English sentences into Kwomtari
2025,P,P3,Recognition,Explain observations about Kwomtari in English
